disease,clean_description,recommended_pesticide
Tomato_mosaic_virus,farmer report notable overall plant vigor decrease clear fruit develop uneven ripening,Biological predators
Early_blight,farmer report rapid dark spot sometimes appear stem notable lesion enlarge warm humid weather severe small dark spot develop concentric ring,Neem oil
Bacterial_spot,according grower slight lesion become angular watersoaked clear tiny dark spot appear young leaf,Biological predators
Bacterial_spot,field observation show severe spot enlarge develop yellow halo extensive leaf edge become ragged torn severe spot may merge larger dead zone,Sulfur spray
healthy,inspection reveals sporadic plant show sign stress pest slight tuber development appears uniform healthy extensive leaf lush green visible spot,No pesticide needed
Spider_mites_Two_spotted_spider_mite,farmer complains visible plant vigor decline noticeably clear webbing may visible leaf stem notable fine yellow dust may visible foliage,Sulfur spray
healthy,farmer complains notable growth appears vigorous balanced notable fruit set appears normal healthy moderate stem appear firm upright,No pesticide needed
Late_blight,according grower clear stem show brown streak near soil level sudden edge lesion appear watersoaked greasy visible new leaf become infected almost overnight,Sulfur spray
Early_blight,field observation show extensive dark spot sometimes appear stem,Neem oil
Target_Spot,according grower slight leaf look scorched burnt edge sporadic spot prominent humid condition visible affected area appear sunken dry,Bacillus subtilis
Spider_mites_Two_spotted_spider_mite,farmer complains clear infestation begin lower leaf visible fine yellow dust may visible foliage,Sulfur spray
Bacterial_spot,visual check indicates severe warm weather accelerates disease spread sudden infected fruit appears pitted rough extensive leaf edge become ragged torn,Sulfur spray
Early_blight,inspection reveals sporadic leaf yellow around brown lesion slight small dark spot develop concentric ring,Neem oil
healthy,farmer complains rapid healthy foliage cover soil evenly severe leaf lush green visible spot slight plant show sign stress pest,No pesticide needed
healthy,visual check indicates clear unusual odor detected field moderate plant show sign stress pest sporadic healthy foliage cover soil evenly,No pesticide needed
Late_blight,field observation show moderate new leaf become infected almost overnight,Sulfur spray
Septoria_leaf_spot,inspection reveals sporadic lower leaf drop early season,Neem oil
Septoria_leaf_spot,inspection reveals severe spot remain le ⅛ inch diameter slight lower leaf drop early season,Neem oil
Bacterial_spot,according grower sporadic warm wet weather increase disease spread clear infected fruit show raised scabby lesion extensive leaf develop yellow halo around spot,Biological predators
Bacterial_spot,farmer complains rapid leaf develop yellow halo around spot,Biological predators
healthy,agronomist note visible overall growth steady balanced extensive leaf look lush green glossy surface,No pesticide needed
Spider_mites_Two_spotted_spider_mite,field observation show rapid leaf appear stippled pale spot notable leaf turn bronze curl,Sulfur spray
Tomato_YellowLeaf_Curl_Virus,visual check indicates severe internode shorten dramatically visible virus spread via whitefly rapidly clear leaf appear crumpled thickened,Horticultural oil
Leaf_Mold,according grower clear disease thrives high humidity poor airflow,Sulfur spray
Tomato_YellowLeaf_Curl_Virus,visual check indicates visible vein become thick prominent severe leaf edge show bright yellow coloring extensive growth becomes stunted bushy,Horticultural oil
Target_Spot,farmer complains extensive severe infection lead premature leaf drop sporadic small dark lesion appear lower leaf moderate affected area appear sunken dry,Bacillus subtilis
Septoria_leaf_spot,visual check indicates visible lower leaf drop early season,Neem oil
Bacterial_spot,agronomist note notable lesion become raised scabby fruit moderate spot may merge larger dead zone severe tiny dark speck appear young leaf,Sulfur spray
healthy,farmer complains extensive stem remain firm robust severe fruit develop evenly blemish severe leaf look lush green glossy surface,No pesticide needed
Bacterial_spot,visual check indicates sporadic infected fruit show raised scabby lesion severe tiny dark spot appear young leaf sporadic warm wet weather increase disease spread,Biological predators
Tomato_mosaic_virus,according grower notable leaf display mottled light dark green patch clear leaf may appear leathery,Biological predators
healthy,farmer report slight growth appears vigorous balanced,No pesticide needed
healthy,visual check indicates severe fruit develop evenly blemish sporadic overall growth steady balanced slight stem remain firm robust,No pesticide needed
Septoria_leaf_spot,according grower clear yellow halo surround small lesion sporadic spot increase rapidly wet condition sudden plant look generally stressed,Neem oil
healthy,farmer report clear leaf lush green visible spot rapid sign wilting discoloration slight leaf edge remain intact smooth,No pesticide needed
Tomato_mosaic_virus,according grower sporadic fruit develop uneven ripening rapid leaf may appear leathery,Biological predators
Tomato_YellowLeaf_Curl_Virus,inspection reveals extensive young leaf curl upward turn yellow slight overall plant appears dwarfed,Horticultural oil
Bacterial_spot,visual check indicates rapid warm wet weather increase disease spread,Biological predators
Target_Spot,visual check indicates severe lesion coalesce large blighted zone sudden growth appears stunted patchy foliage clear small dark lesion appear lower leaf,Bacillus subtilis
Target_Spot,according grower moderate lesion coalesce large blighted zone,Bacillus subtilis
Bacterial_spot,inspection reveals clear spot enlarge develop yellow halo,Sulfur spray
Late_blight,visual check indicates sudden stem turn brown brittle clear edge lesion look watersoaked extensive leaf collapse suddenly without warning,Neem oil
Target_Spot,farmer complains notable fruit show dark speck near stem end,Bacillus subtilis
Early_blight,visual check indicates clear lesion enlarge warm humid weather,Neem oil
Bacterial_spot,farmer report visible plant growth becomes stunted uneven rapid brown streak may appear stem,Sulfur spray
Late_blight,visual check indicates sudden fruit develop firm dark lesion greasy texture,Neem oil
Target_Spot,field observation show sudden spot develop yellow halo expand rapid leaf show circular irregular necrotic area notable lesion coalesce large blighted zone,Bacillus subtilis
Early_blight,visual check indicates notable leaf edge appear scorched curled,Horticultural oil
Target_Spot,notable lesion coalesce large blighted zone moderate spot develop yellow halo expand,Bacillus subtilis
Bacterial_spot,according grower clear bacterial ooze may visible moist condition,Biological predators
Tomato_mosaic_virus,agronomist note rapid fruit show irregular color pattern,Biological predators
Septoria_leaf_spot,farmer complains extensive stem remain largely unaffected rapid yellow halo surround small lesion,Neem oil
Leaf_Mold,notable disease thrives high humidity poor airflow severe leaf curl become brittle sporadic lower leaf affected first,Sulfur spray
Bacterial_spot,according grower notable leaf develop yellow halo around spot visible lower leaf drop prematurely,Biological predators
Tomato_YellowLeaf_Curl_Virus,inspection reveals moderate fruit production decrease sharply,Horticultural oil
Septoria_leaf_spot,agronomist note extensive lower leaf drop early season moderate stem remain largely unaffected,Neem oil
Tomato_YellowLeaf_Curl_Virus,farmer report notable fruit production decrease sharply clear growth becomes stunted bushy slight virus spread via whitefly rapidly,Horticultural oil
Target_Spot,according grower rapid affected area appear sunken dry,Bacillus subtilis
Target_Spot,visual check indicates slight affected area appear sunken dry sudden spot prominent humid condition,Bacillus subtilis
healthy,field observation show slight spot discoloration leaf rapid stem remain firm robust,No pesticide needed
Late_blight,field observation show sporadic fruit develop firm dark lesion greasy texture notable leaf collapse suddenly without warning,Neem oil
healthy,farmer report rapid leaf look lush green glossy surface slight sign curling wilting,No pesticide needed
Early_blight,farmer report severe small dark spot develop concentric ring visible dark spot sometimes appear stem,Neem oil
